"Sym","Issuer Name","Cl","CUSIP","Value ($000)","%","Shares","Principal","Option Type"
"TSLA","Tesla Inc","COMMON STOCK","88160R101","1,020,559","7.8%","4,078,651","",""
"PATH","UiPath Inc","COMMON STOCK","90364P105","809,752","6.2%","47,326,276","",""
"COIN","Coinbase Global Inc","COMMON STOCK","19260Q107","796,115","6.1%","10,603,564","",""
"ROKU","Roku Inc","COMMON STOCK","77543R102","736,946","5.6%","10,439,813","",""
"ZM","Zoom Video Communications Inc","COMMON STOCK","98980L101","712,192","5.4%","10,182,913","",""
"SQ","Block Inc","COMMON STOCK","852234103","481,863","3.7%","10,887,114","",""
"DKNG","DraftKings Inc","COMMON STOCK","26142V105","430,643","3.3%","14,627,852","",""
"EXAS","Exact Sciences Corp","COMMON STOCK","30063P105","428,485","3.3%","6,280,931","",""
"TWLO","Twilio Inc","COMMON STOCK","90138F102","417,436","3.2%","7,132,012","",""
"SHOP","Shopify Inc","COMMON STOCK","82509L107","379,542","2.9%","6,955,150","",""
"TDOC","Teladoc Health Inc","COMMON STOCK","87918A105","377,597","2.9%","20,311,873","",""
"U","Unity Software Inc","COMMON STOCK","91332U101","360,269","2.8%","11,477,199","",""
"RBLX","ROBLOX Corp","COMMON STOCK","771049103","346,763","2.7%","11,973,881","",""
"DNA","Ginkgo Bioworks Holdings Inc","COMMON STOCK","37611X100","329,767","2.5%","182,192,185","",""
"CRSP","CRISPR Therapeutics AG","COMMON STOCK","H17182108","325,133","2.5%","7,163,118","",""
"HOOD","Robinhood Markets Inc","COMMON STOCK","770700102","322,110","2.5%","32,834,879","",""
"NTLA","Intellia Therapeutics Inc","COMMON STOCK","45826J105","314,575","2.4%","9,948,629","",""
"PACB","Pacific Biosciences of Califor","COMMON STOCK","69404D108","249,017","1.9%","29,822,440","",""
"PD","PagerDuty Inc","COMMON STOCK","69553P100","237,372","1.8%","10,554,585","",""
"BEAM","Beam Therapeutics Inc","COMMON STOCK","07373V105","211,252","1.6%","8,783,891","",""
"VCYT","Veracyte Inc","COMMON STOCK","92337F107","169,564","1.3%","7,593,592","",""
"PLTR","Palantir Technologies Inc","COMMON STOCK","69608A108","150,778","1.2%","9,423,627","",""
"TER","Teradyne Inc","COMMON STOCK","880770102","142,937","1.1%","1,422,834","",""
"TWST","Twist Bioscience Corp","COMMON STOCK","90184D100","137,484","1.1%","6,785,983","",""
"TXG","10X Genomics Inc","COMMON STOCK","88025U109","123,480","0.9%","2,993,460","",""
"ACHR","Archer Aviation Inc","COMMON STOCK","03945R102","120,379","0.9%","23,790,372","",""
"GBTC","Grayscale Bitcoin Trust BTC","OPEN-END FUND","389637109","108,051","0.8%","5,630,602","",""
"IONS","Ionis Pharmaceuticals Inc","COMMON STOCK","462222100","107,338","0.8%","2,366,367","",""
"TRMB","Trimble Inc","COMMON STOCK","896239100","101,000","0.8%","1,875,236","",""
"NVDA","NVIDIA Corp","COMMON STOCK","67066G104","97,782","0.7%","224,793","",""
"KTOS","Kratos Defense & Security Solu","COMMON STOCK","50077B207","94,109","0.7%","6,265,604","",""
"IRDM","Iridium Communications Inc","COMMON STOCK","46269C102","87,558","0.7%","1,924,779","",""
"META","Meta Platforms Inc","COMMON STOCK","30303M102","86,137","0.7%","286,925","",""
"SDGR","Schrodinger Inc/United States","COMMON STOCK","80810D103","80,170","0.6%","2,835,903","",""
"VERV","Verve Therapeutics Inc","COMMON STOCK","92539P101","68,959","0.5%","5,200,567","",""
"ACCD","Accolade Inc","COMMON STOCK","00437E102","63,929","0.5%","6,042,523","",""
"ADPT","Adaptive Biotechnologies Corp","COMMON STOCK","00650F109","62,725","0.5%","11,509,308","",""
"AVAV","AeroVironment Inc","COMMON STOCK","008073108","59,819","0.5%","536,351","",""
"RXRX","Recursion Pharmaceuticals Inc","COMMON STOCK","75629V104","52,605","0.4%","6,876,598","",""
"ARCT","Arcturus Therapeutics Holdings","COMMON STOCK","03969T109","48,584","0.4%","1,901,546","",""
"MELI","MercadoLibre Inc","COMMON STOCK","58733R102","48,018","0.4%","37,873","",""
"CDNA","CareDx Inc","COMMON STOCK","14167L103","46,755","0.4%","6,679,323","",""
"DE","Deere & Co","COMMON STOCK","244199105","43,108","0.3%","114,231","",""
"GLBE","Global-e Online Ltd","COMMON STOCK","M5216V106","42,110","0.3%","1,059,648","",""
"VEEV","Veeva Systems Inc","COMMON STOCK","922475108","40,654","0.3%","199,828","",""
"VRTX","Vertex Pharmaceuticals Inc","COMMON STOCK","92532F100","40,105","0.3%","115,331","",""
"KMTUY","Komatsu Ltd","ADR","500458401","38,013","0.3%","1,409,492","",""
"INTU","Intuit Inc","COMMON STOCK","461202103","33,648","0.3%","65,857","",""
"GENI","Genius Sports Ltd","COMMON STOCK","G3934V109","33,544","0.3%","6,293,541","",""
"CERS","Cerus Corp","COMMON STOCK","157085101","32,500","0.2%","20,061,906","",""
"RPTX","Repare Therapeutics Inc","COMMON STOCK","760273102","31,660","0.2%","2,620,883","",""
"SLGC","SomaLogic Inc","COMMON STOCK","83444K105","31,029","0.2%","12,983,002","",""
"MKFG","Markforged Holding Corp","COMMON STOCK","57064N102","29,297","0.2%","20,205,174","",""
"ADYEN.AS","Adyen NV","COMMON STOCK","N3501V104","29,285","0.2%","39,231","",""
"BILL","BILL Holdings Inc","COMMON STOCK","090043100","29,011","0.2%","267,211","",""
"DSY.JO","Discovery Ltd","COMMON STOCK","S2192Y109","28,811","0.2%","3,968,976","",""
"GOOG","Alphabet Inc","COMMON STOCK","02079K107","28,696","0.2%","217,642","",""
"INCY","Incyte Corp","COMMON STOCK","45337C102","28,520","0.2%","493,693","",""
"NU","NU Holdings Ltd/Cayman Islands","COMMON STOCK","G6683N103","27,592","0.2%","3,805,860","",""
"AMD","Advanced Micro Devices Inc","COMMON STOCK","007903107","27,389","0.2%","266,380","",""
"NET","Cloudflare Inc","COMMON STOCK","18915M107","27,082","0.2%","429,609","",""
"MRNA","Moderna Inc","COMMON STOCK","60770K107","26,838","0.2%","259,838","",""
"MASS","908 Devices Inc","COMMON STOCK","65443P102","26,729","0.2%","4,013,460","",""
"PRME","Prime Medicine Inc","COMMON STOCK","74168J101","25,017","0.2%","2,622,429","",""
"CRWD","Crowdstrike Holdings Inc","COMMON STOCK","22788C105","24,290","0.2%","145,120","",""
"TWOU","2U Inc","COMMON STOCK","90214J101","24,119","0.2%","9,765,122","",""
"QSI","Quantum-Si Inc","COMMON STOCK","74765K105","23,984","0.2%","14,448,217","",""
"STNE","StoneCo Ltd","COMMON STOCK","G85158106","23,128","0.2%","2,167,589","",""
"REGN","Regeneron Pharmaceuticals Inc","COMMON STOCK","75886F107","22,829","0.2%","27,740","",""
"VUZI","Vuzix Corp","COMMON STOCK","92921W300","22,658","0.2%","6,242,003","",""
"ESLT.TA","Elbit Systems Ltd","COMMON STOCK","M3760D101","22,476","0.2%","113,530","",""
"TOST","Toast Inc","COMMON STOCK","888787108","21,803","0.2%","1,164,111","",""
"ANSS","ANSYS Inc","COMMON STOCK","03662Q105","21,113","0.2%","70,958","",""
"VLD","Velo3D Inc","COMMON STOCK","92259N104","20,948","0.2%","13,428,463","",""
"JOBY","Joby Aviation Inc","COMMON STOCK","G65163100","20,495","0.2%","3,177,569","",""
"NRIX","Nurix Therapeutics Inc","COMMON STOCK","67080M103","20,381","0.2%","2,593,047","",""
"NVTA","Invitae Corp","COMMON STOCK","46185L103","19,936","0.2%","32,942,606","",""
"SNPS","Synopsys Inc","COMMON STOCK","871607107","19,876","0.2%","43,306","",""
"RKLB","Rocket Lab USA Inc","COMMON STOCK","773122106","19,715","0.2%","4,501,322","",""
"CAT","Caterpillar Inc","COMMON STOCK","149123101","18,866","0.1%","69,109","",""
"CMPS","Compass Pathways Plc","ADR","20451W101","18,002","0.1%","2,432,831","",""
"BLDE","Blade Air Mobility Inc","COMMON STOCK","092667104","17,595","0.1%","6,793,726","",""
"TSM","Taiwan Semiconductor Manufactu","ADR","874039100","17,470","0.1%","201,046","",""
"SPOT","Spotify Technology SA","COMMON STOCK","L8681T102","17,465","0.1%","112,940","",""
"MG.TO","Magna International Inc","COMMON STOCK","559222401","17,336","0.1%","323,388","",""
"GH","Guardant Health Inc","COMMON STOCK","40131M109","16,993","0.1%","573,323","",""
"KSPI.IL","Kaspi.KZ JSC","GDR","48581R205","16,932","0.1%","174,923","",""
"TDY","Teledyne Technologies Inc","COMMON STOCK","879360105","16,106","0.1%","39,421","",""
"MSFT","Microsoft Corp","COMMON STOCK","594918104","16,091","0.1%","50,964","",""
"PINS","Pinterest Inc","COMMON STOCK","72352L106","15,476","0.1%","572,563","",""
"PFE","Pfizer Inc","COMMON STOCK","717081103","15,393","0.1%","464,080","",""
"BFLY","Butterfly Network Inc","COMMON STOCK","124155102","15,004","0.1%","12,715,274","",""
"DDD","3D Systems Corp","COMMON STOCK","88554D205","14,205","0.1%","2,893,116","",""
"LHX","L3Harris Technologies Inc","COMMON STOCK","502431109","13,812","0.1%","79,327","",""
"SSYS","Stratasys Ltd","COMMON STOCK","M85548101","13,573","0.1%","997,332","",""
"CCO.TO","Cameco Corp","COMMON STOCK","13321L108","13,371","0.1%","337,315","",""
"TTD","Trade Desk Inc/The","COMMON STOCK","88339J105","13,311","0.1%","170,335","",""
"KIND","Nextdoor Holdings Inc","COMMON STOCK","65345M108","12,532","0.1%","6,886,013","",""
"ADYEY","Adyen NV","ADR","00783V104","12,493","0.1%","1,688,314","",""
"LMT","Lockheed Martin Corp","COMMON STOCK","539830109","12,476","0.1%","30,508","",""
"6301.T","Komatsu Ltd","COMMON STOCK","J35759125","12,395","0.1%","458,088","",""
"PRNT","The 3D Printing ETF","ETP","00214Q500","12,315","0.1%","606,361","",""
"DSYS.TI","Dassault Systemes SE","COMMON STOCK","F24571451","11,896","0.1%","318,629","",""
"BYDDY","BYD Co Ltd","ADR","05606L100","11,415","0.1%","185,322","",""
