"Sym","Issuer Name","Cl","CUSIP","Value ($000)","%","Shares","Principal","Option Type"
"AAPL","APPLE INC","COM","037833100","156,753,093","50%","915,560,382","",""
"BAC","BANK AMER CORP","COM","060505104","28,279,487","9.0%","1,032,852,006","",""
"AXP","AMERICAN EXPRESS CO","COM","025816109","22,618,800","7.2%","151,610,700","",""
"KO","COCA COLA CO","COM","191216100","22,392,000","7.1%","400,000,000","",""
"CVX","CHEVRON CORP NEW","COM","166764100","18,590,066","5.9%","110,248,289","",""
"OXY","OCCIDENTAL PETE CORP","COM","674599105","14,541,501","4.6%","224,129,192","",""
"KHC","KRAFT HEINZ CO","COM","500754106","10,954,355","3.5%","325,634,818","",""
"MCO","MOODYS CORP","COM","615369105","7,799,843","2.5%","24,669,778","",""
"DVA","DAVITA INC","COM","23918K108","3,412,114","1.1%","36,095,570","",""
"HPQ","HP INC","COM","40434L105","2,634,739","0.8%","102,519,035","",""
"VRSN","VERISIGN INC","COM","92343E102","2,595,546","0.8%","12,815,613","",""
"C","CITIGROUP INC","COM NEW","172967424","2,272,218","0.7%","55,244,797","",""
"KR","KROGER CO","COM","501044101","2,237,500","0.7%","50,000,000","",""
"V","VISA INC","COM CL A","92826C839","1,908,498","0.6%","8,297,460","",""
"CHTR","CHARTER COMMUNICATIONS INC N","CL A","16119P108","1,684,044","0.5%","3,828,941","",""
"MA","MASTERCARD INC","CL A","57636Q104","1,578,353","0.5%","3,986,648","",""
"AON","AON PLC","SHS CL A","G0403H108","1,329,302","0.4%","4,100,000","",""
"AMZN","AMAZON COM INC","COM","023135106","1,271,200","0.4%","10,000,000","",""
"COF","CAPITAL ONE FINL CORP","COM","14040H105","1,210,313","0.4%","12,471,030","",""
"PARA","PARAMOUNT GLOBAL","CLASS B COM","92556H206","1,209,129","0.4%","93,730,975","",""
"LSXMK","LIBERTY MEDIA CORP DEL","COM LBTY SRM S C","531229789","1,100,083","0.4%","43,208,291","",""
"SNOW","SNOWFLAKE INC","CL A","833445109","935,773","0.3%","6,125,376","",""
"NU","NU HLDGS LTD","ORD SHS CL A","G6683N103","776,611","0.2%","107,118,784","",""
"ALLY","ALLY FINL INC","COM","02005N100","773,720","0.2%","29,000,000","",""
"TMUS","T-MOBILE US INC","COM","872590104","734,142","0.2%","5,242,000","",""
"DHI","D R HORTON INC","COM","23331A109","641,565","0.2%","5,969,714","",""
"LSXMA","LIBERTY MEDIA CORP DEL","COM LBTY SRM S A","531229813","514,285","0.2%","20,207,680","",""
"FWONK","LIBERTY MEDIA CORP DEL","COM SER C FRMLA","531229854","481,108","0.2%","7,722,451","",""
"FND","FLOOR & DECOR HLDGS INC","CL A","339750101","432,590","0.1%","4,780,000","",""
"LPX","LOUISIANA PAC CORP","COM","546347105","389,372","0.1%","7,044,909","",""
"LLYVK","LIBERTY MEDIA CORP DEL","COM LBTY LIV S C","531229722","357,356","0.1%","11,132,590","",""
"MKL","MARKEL CORP","COM","570535104","233,706","0.1%","158,715","",""
"LLYVA","LIBERTY MEDIA CORP DEL","COM LBTY LIV S A","531229748","161,257","0.1%","5,051,918","",""
"STNE","STONECO LTD","COM CL A","G85158106","114,120","0.0%","10,695,448","",""
"GL","GLOBE LIFE INC","COM","37959E102","90,356","0.0%","831,014","",""
"NVR","NVR INC","COM","62944T105","66,264","0.0%","11,112","",""
"SIRI","SIRIUS XM HOLDINGS INC","COM","82968B103","43,768","0.0%","9,683,224","",""
"DEO","DIAGEO P L C","SPON ADR NEW","25243Q205","33,975","0.0%","227,750","",""
"LILA","LIBERTY LATIN AMERICA LTD","COM CL A","G9001E102","21,467","0.0%","2,630,792","",""
"VOO","VANGUARD INDEX FDS","S&P 500 ETF SHS","922908363","16,886","0.0%","43,000","",""
"SPY","SPDR S&P 500 ETF TR","TR UNIT","78462F103","16,842","0.0%","39,400","",""
"JEF","JEFFERIES FINL GROUP INC","COM","47233W109","15,881","0.0%","433,558","",""
"LEN-B","LENNAR CORP","CL B","526057302","15,597","0.0%","152,572","",""
"LILAK","LIBERTY LATIN AMERICA LTD","COM CL C","G9001E128","10,477","0.0%","1,284,020","",""
"BATRK","ATLANTA BRAVES HLDGS INC","COM SER C","047726302","7,990","0.0%","223,645","",""
